Shared Minutes,David Ospina,Petr Cech,Shkodran Mustafi,Laurent Koscielny,Calum Chambers,Rob Holding,Per Mertesacker,Konstantinos Mavropanos,Sead Kolasinac,Nacho Monreal,Héctor Bellerín,Granit Xhaka,Francis Coquelin,Mohamed Elneny,Aaron Ramsey,Jack Wilshere,Joe Willock,Alex Oxlade-Chamberlain,Ainsley Maitland-Niles,Mesut Özil,Henrikh Mkhitaryan,Alexis Sánchez,Alex Iwobi,Theo Walcott,Reiss Nelson,Pierre-Emerick Aubameyang,Alexandre Lacazette,Olivier Giroud,Danny Welbeck,Eddie Nketiah
David Ospina,380,0,290,110,182,90,0,0,152,252,380,304,0,121,275,91,0,0,153,110,200,0,252,0,0,0,209,0,197,0
Petr Cech,0,3040,1984,2117,687,730,365,195,1999,2014,2671,2962,156,749,1572,1101,82,242,755,2054,596,1507,1592,63,146,1059,2002,374,986,17
Shkodran Mustafi,290,1984,2274,1392,685,610,18,195,1373,1286,1941,2173,46,696,1307,837,68,90,557,1286,606,793,1214,48,64,589,1488,202,848,7
Laurent Koscielny,110,2117,1392,2227,247,102,329,195,1409,1739,2144,2167,156,445,1340,803,14,62,410,1709,358,1309,1100,1,128,803,1484,303,623,14
Calum Chambers,182,687,685,247,869,273,18,0,458,196,675,790,15,304,97,611,0,0,327,368,255,268,581,2,0,0,519,0,316,0
Rob Holding,90,730,610,102,273,820,17,0,426,376,534,813,45,275,343,208,14,129,390,354,258,254,477,43,69,245,552,61,383,10
Per Mertesacker,0,365,18,329,18,17,365,0,370,334,365,365,8,90,257,41,0,0,18,265,13,262,105,0,0,200,313,39,90,10
Konstantinos Mavropanos,0,195,195,195,0,0,0,195,195,195,195,195,0,0,178,40,0,0,0,105,0,178,82,0,0,68,139,59,43,0
Sead Kolasinac,152,1999,1373,1409,458,426,370,195,2152,1348,1873,2103,110,452,1398,436,66,156,260,1287,608,1016,1085,46,82,933,1332,181,703,17
Nacho Monreal,252,2014,1286,1739,196,376,334,195,1348,2242,2152,2091,141,634,1535,540,82,242,327,1586,188,1193,1031,89,146,1059,1616,374,831,17
Héctor Bellerín,380,2671,1941,2144,675,534,365,195,1873,2152,3051,2897,156,674,1757,1076,82,242,716,1991,545,1507,1526,63,146,1059,2105,374,1094,17
Granit Xhaka,304,2962,2173,2167,790,813,365,195,2103,2091,2897,3266,153,787,1700,1071,82,231,905,2017,796,1444,1809,45,146,1036,2157,321,1081,17
Francis Coquelin,0,156,46,156,15,45,8,0,110,141,156,153,142,0,134,46,14,16,4,142,0,173,79,0,18,140,110,112,107,0
Mohamed Elneny,121,749,696,445,304,275,90,0,452,634,674,787,0,870,288,269,0,67,159,466,143,100,532,15,69,269,563,62,397,11
Aaron Ramsey,275,1572,1307,1340,97,343,257,178,1398,1535,1757,1700,134,288,1847,161,98,158,169,1176,407,953,785,60,127,834,1270,208,654,13
Jack Wilshere,91,1101,837,803,611,208,41,40,436,540,1076,1071,46,269,161,1187,0,0,574,860,235,599,675,17,0,26,781,154,334,0
Joe Willock,0,82,68,14,0,14,0,0,66,82,82,82,14,0,98,0,82,82,0,82,0,14,11,10,12,82,82,16,82,0
Alex Oxlade-Chamberlain,0,242,90,62,0,129,0,0,156,242,242,231,16,67,158,0,82,242,0,242,0,62,11,27,80,242,168,47,227,0
Ainsley Maitland-Niles,153,755,557,410,327,390,18,0,260,327,716,905,4,159,169,574,0,0,908,492,262,413,655,17,26,1,544,108,307,0
Mesut Özil,110,2054,1286,1709,368,354,265,105,1287,1586,1991,2017,142,466,1176,860,82,242,492,2164,450,1116,817,30,101,672,1292,338,647,10
Henrikh Mkhitaryan,200,596,606,358,255,258,13,0,608,188,545,796,0,143,407,235,0,0,262,450,796,0,569,0,0,0,206,14,217,0
Alexis Sánchez,0,1507,793,1309,268,254,262,178,1016,1193,1507,1444,173,100,953,599,14,62,413,1116,0,1507,605,21,126,613,1112,229,192,13
Alex Iwobi,252,1592,1214,1100,581,477,105,82,1085,1031,1526,1809,79,532,785,675,11,11,655,817,569,605,1844,22,0,403,1195,125,502,7
Theo Walcott,0,63,48,1,2,43,0,0,46,89,63,45,0,15,60,17,10,27,17,30,0,21,22,63,15,27,38,46,29,0
Reiss Nelson,0,146,64,128,0,69,0,0,82,146,146,146,18,69,127,0,12,80,26,101,0,126,0,15,146,146,84,39,67,0
Pierre-Emerick Aubameyang,0,1059,589,803,0,245,200,68,933,1059,1059,1036,140,269,834,26,82,242,1,672,0,613,403,27,146,1059,822,157,475,17
Alexandre Lacazette,209,2002,1488,1484,519,552,313,139,1332,1616,2105,2157,110,563,1270,781,82,168,544,1292,206,1112,1195,38,84,822,2211,118,720,38
Olivier Giroud,0,374,202,303,0,61,39,59,181,374,374,321,112,62,208,154,16,47,108,338,14,229,125,46,39,157,118,374,153,17
Danny Welbeck,197,986,848,623,316,383,90,43,703,831,1094,1081,107,397,654,334,82,227,307,647,217,192,502,29,67,475,720,153,1183,35
Eddie Nketiah,0,17,7,14,0,10,10,0,17,17,17,17,0,11,13,0,0,0,0,10,0,13,7,0,0,17,38,17,35,17
