Shared Minutes,David de Gea,Sergio Romero,Eric Bailly,Victor Lindelöf,Marcos Rojo,Chris Smalling,Phil Jones,Axel Tuanzebe,Daley Blind,Luke Shaw,Matteo Darmian,Antonio Valencia,Nemanja Matic,Michael Carrick,Paul Pogba,Ander Herrera,Marouane Fellaini,Scott McTominay,Ashley Young,Henrikh Mkhitaryan,Juan Mata,Alexis Sánchez,Anthony Martial,Jesse Lingard,Romelu Lukaku,Marcus Rashford,Zlatan Ibrahimovic
David de Gea,3330,0,910,1284,550,2535,1975,1,284,758,354,2743,3119,24,2146,1247,612,539,2388,932,1841,959,1582,1824,2869,1717,102
Sergio Romero,0,90,90,0,90,0,0,0,77,30,90,0,0,85,5,13,0,90,60,0,90,90,0,0,0,90,0
Eric Bailly,910,90,1000,11,90,385,693,0,348,31,182,909,909,85,465,402,273,195,598,622,553,262,186,199,909,730,0
Victor Lindelöf,1284,0,11,1284,270,1104,361,1,3,293,15,991,1158,0,1103,487,56,227,1066,163,642,525,668,895,988,526,57
Marcos Rojo,550,90,90,270,640,415,159,1,80,263,172,315,514,85,405,231,68,184,430,0,432,180,354,389,371,327,77
Chris Smalling,2535,0,385,1104,415,2535,1180,0,11,488,264,2218,2324,24,1516,1054,402,539,2043,327,1209,959,1359,1552,2240,1152,57
Phil Jones,1975,0,693,361,159,1180,1975,1,284,623,271,1501,1800,24,1199,791,440,204,1173,891,1214,270,937,1046,1657,1080,45
Axel Tuanzebe,1,0,0,1,1,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,13,3,0,1,0
Daley Blind,284,77,348,3,80,11,284,1,361,30,87,271,284,77,281,17,56,77,61,263,326,77,121,33,281,268,0
Luke Shaw,758,30,31,293,263,488,623,1,30,788,120,353,596,25,605,276,100,335,203,110,582,233,373,620,405,406,45
Matteo Darmian,354,90,182,15,172,264,271,0,87,120,444,196,282,85,257,262,159,99,233,172,178,90,251,97,224,386,0
Antonio Valencia,2743,0,909,991,315,2218,1501,0,271,353,196,2743,2604,24,1593,1047,454,541,2003,815,1351,936,1231,1399,2600,1302,57
Nemanja Matic,3119,0,909,1158,514,2324,1800,1,284,596,282,2604,3119,11,1948,1049,540,436,2338,932,1828,856,1486,1664,2810,1615,134
Michael Carrick,24,85,85,0,85,24,24,0,77,25,85,24,11,109,0,8,0,98,84,0,109,109,24,0,24,85,0
Paul Pogba,2146,5,465,1103,405,1516,1199,1,281,605,257,1593,1948,0,2151,641,313,293,1414,468,1148,726,1137,1281,1685,978,82
Ander Herrera,1247,13,402,487,231,1054,791,1,17,276,262,1047,1049,8,641,1260,230,131,913,349,370,314,480,786,991,767,15
Marouane Fellaini,612,0,273,56,68,402,440,0,56,100,159,454,540,0,313,230,605,35,455,262,399,53,300,208,470,495,23
Scott McTominay,539,90,195,227,184,539,204,0,77,335,99,541,436,98,293,131,35,629,330,0,391,516,177,326,422,253,0
Ashley Young,2388,60,598,1066,430,2043,1173,0,61,203,233,2003,2338,84,1414,913,455,330,2448,600,1300,801,1127,1339,2181,1311,102
Henrikh Mkhitaryan,932,0,622,163,0,327,891,0,263,110,172,815,932,0,468,349,262,0,600,932,554,0,191,207,881,722,19
Juan Mata,1841,90,553,642,432,1209,1214,0,326,582,178,1351,1828,109,1148,370,399,391,1300,554,1931,489,878,945,1585,1106,59
Alexis Sánchez,959,90,262,525,180,959,270,0,77,233,90,936,856,109,726,314,53,516,801,0,489,1049,315,644,816,295,0
Anthony Martial,1582,0,186,668,354,1359,937,13,121,373,251,1231,1486,24,1137,480,300,177,1127,191,878,315,1582,977,1354,594,46
Jesse Lingard,1824,0,199,895,389,1552,1046,3,33,620,97,1399,1664,0,1281,786,208,326,1339,207,945,644,977,1824,1489,647,0
Romelu Lukaku,2869,0,909,988,371,2240,1657,0,281,405,224,2600,2810,24,1685,991,470,422,2181,881,1585,816,1354,1489,2869,1407,102
Marcus Rashford,1717,90,730,526,327,1152,1080,1,268,406,386,1302,1615,85,978,767,495,253,1311,722,1106,295,594,647,1407,1807,92
Zlatan Ibrahimovic,102,0,0,57,77,57,45,0,0,45,0,57,134,0,82,15,23,0,102,19,59,0,46,0,102,92,102
